,physical_importance,mse
0,0.001,0.013401666999999999
1,0.005,0.013377297
2,0.0,0.013367843999999999
3,1.0,0.017054708999999998
4,0.05,0.013379773999999999
5,5.0,0.021936197
6,0.001,0.01341537
7,0.005,0.013353273999999998
8,0.0,0.013347592
9,1.0,0.015646879
10,0.05,0.013377093
11,5.0,0.021886837000000003
12,0.001,0.013359302
13,0.005,0.0133759845
14,0.0,0.01333504
15,1.0,0.015538696999999999
16,0.05,0.013470708999999999
17,5.0,0.021191272999999997
18,0.001,0.013370627
19,0.005,0.013410788
20,0.0,0.013362638999999999
21,1.0,0.015620563
22,0.05,0.013500308999999999
23,5.0,0.02308772
24,0.001,0.0133522265
25,0.005,0.013350529
26,0.0,0.013469382
27,1.0,0.015423971000000002
28,0.05,0.013407473999999999
29,5.0,0.022518666
30,0.001,0.013342340500000001
31,0.005,0.013408888999999998
32,0.0,0.013410695
33,0.05,0.0136270225
34,1.0,0.01549815
35,5.0,0.022493233999999997
36,0.001,0.013379406000000002
37,0.005,0.013515938
38,0.0,0.01338465
39,0.05,0.013393535
40,1.0,0.01554207
41,5.0,0.021268112999999998
42,0.001,0.013400299
43,0.005,0.013399421000000002
44,0.0,0.01338142
45,0.05,0.013372236000000001
46,1.0,0.015913362
47,5.0,0.022528976000000003
48,0.001,0.013405529
49,0.005,0.013332018000000001
50,0.0,0.013355418
51,0.05,0.013365827
52,1.0,0.015388156000000002
53,5.0,0.023587784
54,0.001,0.013351675
55,0.005,0.013377848999999999
56,0.0,0.013380853
57,0.05,0.01344828
58,1.0,0.01610774
59,5.0,0.022014908
60,0.001,0.013415683000000001
61,0.005,0.013402283000000001
62,0.0,0.013370304
63,0.05,0.013397212
64,1.0,0.0154275885
65,5.0,0.02166743
66,0.001,0.013367691000000001
67,0.005,0.013441483
68,0.0,0.013404931
69,0.05,0.013686995
70,1.0,0.015310919
71,5.0,0.02176522
72,0.001,0.013409381000000001
73,0.005,0.01336351
74,0.0,0.013334455
75,0.05,0.013393607
76,5.0,0.022086501
77,1.0,0.015881588999999998
78,0.001,0.013609981
79,0.005,0.013388995
80,0.0,0.013359015
81,0.05,0.013360186000000001
82,5.0,0.020546949
83,1.0,0.015487918
84,0.001,0.013344393000000001
85,0.005,0.01339144
86,0.0,0.013429182
87,0.05,0.01339302
88,5.0,0.021120603999999998
89,1.0,0.015761307
90,2.0,0.017193045
91,3.0,0.020493608
92,4.0,0.021338075
93,10.0,0.025428932
94,2.0,0.01766955
95,3.0,0.018937908
96,4.0,0.02061199
97,10.0,0.024665907
98,50.0,0.04059883
99,2.0,0.017115584
100,3.0,0.019206826
101,4.0,0.020271886
102,10.0,0.027266642
103,50.0,0.03928661
104,3.0,0.019778874
105,2.0,0.017150313
106,4.0,0.019445043000000002
107,10.0,0.025947934
108,50.0,0.04244749
109,3.0,0.019700205
110,2.0,0.017557114
111,4.0,0.020240419
112,10.0,0.025965707
113,50.0,0.040361106
114,3.0,0.01937588
115,2.0,0.019271355
116,4.0,0.020573279
117,10.0,0.025382891
118,50.0,0.04127435
119,3.0,0.01842952
120,2.0,0.018360566000000002
121,4.0,0.020290593
122,10.0,0.025074631
123,50.0,0.039471563
124,3.0,0.019071337
125,2.0,0.017899951
126,4.0,0.02106723
127,10.0,0.024781931
128,50.0,0.041590106
129,3.0,0.019691313000000002
130,2.0,0.019370731000000002
131,4.0,0.019835865
132,10.0,0.02633089
133,50.0,0.040384848
134,3.0,0.018955326
135,2.0,0.017340904
136,4.0,0.020879705
137,10.0,0.025532187999999997
138,50.0,0.041932646000000004
139,3.0,0.018422026
140,2.0,0.017673526000000002
141,4.0,0.020262137
142,10.0,0.027947852000000002
143,50.0,0.042234283
144,3.0,0.020098293
145,2.0,0.01848914
146,4.0,0.020433538
147,10.0,0.027422475
148,50.0,0.039175287
149,3.0,0.019529998
150,4.0,0.02188694
151,2.0,0.017881604
152,10.0,0.025586272
153,50.0,0.041628696
154,3.0,0.019642700000000003
155,4.0,0.021293178
156,2.0,0.017467877
157,10.0,0.024944913
158,50.0,0.049727402999999996
159,3.0,0.022457344
160,4.0,0.02030027
161,2.0,0.017166095
162,10.0,0.025128625
163,50.0,0.039936297
164,50.0,0.13787520000000003
165,20.0,0.0335989
166,30.0,0.035423542999999995
167,40.0,0.13571867
168,45.0,0.046387455999999994
169,60.0,0.042355805999999996
170,20.0,0.03229062
171,30.0,0.038239226
172,40.0,0.039346702000000004
173,45.0,0.037586235
174,60.0,0.048466533
175,20.0,0.029437657000000002
176,30.0,0.035361387
177,40.0,0.038401138
178,45.0,0.04179364
179,60.0,0.16193843
180,20.0,0.031752113
181,30.0,0.036766116
182,40.0,0.036694597
183,45.0,0.035457022000000005
184,60.0,0.041359887000000005
185,20.0,0.03494248
186,30.0,0.034626875
187,45.0,0.039676283
188,40.0,0.038002055
189,60.0,0.040218785
190,20.0,0.032338492999999996
191,30.0,0.13152964
192,45.0,0.042733232999999995
193,60.0,0.05196128
194,40.0,0.04199587
195,20.0,0.03165641
196,30.0,0.03519461
197,60.0,0.047461607
198,45.0,0.042430744000000006
199,40.0,0.037464912999999996
200,20.0,0.03434213
201,30.0,0.038863126
202,60.0,0.048895672
203,45.0,0.03714116
204,40.0,0.03938499
205,20.0,0.03314764
206,30.0,0.034391575
207,60.0,0.049218446
208,45.0,0.041522473
209,40.0,0.04382274
210,20.0,0.031090282
211,30.0,0.032065395
212,60.0,0.050020024
213,45.0,0.039654896
214,40.0,0.040017325
215,20.0,0.031046893
216,30.0,0.03563741
217,60.0,0.17757882
218,45.0,0.04022511
219,40.0,0.16303328
220,20.0,0.031011137999999997
221,30.0,0.12311108400000001
222,60.0,0.046264707999999995
223,45.0,0.15362623
224,40.0,0.04285437
225,30.0,0.035650585
226,20.0,0.029955836
227,60.0,0.14235975
228,45.0,0.15913182
229,40.0,0.14764968
230,20.0,0.11207205
231,30.0,0.03642847
232,60.0,0.042838077999999995
233,45.0,0.13867824
234,40.0,0.036343827999999995
235,20.0,0.029933458
236,30.0,0.12706704
237,60.0,0.045128714
238,45.0,0.043247047999999996
239,40.0,0.040310405
240,25.0,0.035239752
241,35.0,0.039286785
242,45.0,0.14663512
243,55.0,0.04188473
244,25.0,0.032399774
245,35.0,0.03712478
246,45.0,0.04077785
247,55.0,0.047207132
248,25.0,0.03451219
249,35.0,0.03816217
250,15.0,0.028801426
251,45.0,0.043595202
252,55.0,0.14913386
253,25.0,0.033381004
254,35.0,0.034815047
255,15.0,0.028747032999999998
256,55.0,0.04276575
257,45.0,0.040692996
258,25.0,0.031817626
259,35.0,0.035946306000000004
260,15.0,0.030458024
261,55.0,0.041455556
262,45.0,0.04314792
263,25.0,0.0327663
264,35.0,0.035378408
265,15.0,0.027224500000000002
266,55.0,0.041133016
267,45.0,0.043528702
268,25.0,0.035282634
269,35.0,0.14243814
270,15.0,0.029305482
271,55.0,0.15954904
272,45.0,0.039624207
273,25.0,0.033732593
274,35.0,0.037594385
275,15.0,0.029416054
276,55.0,0.044450185999999996
277,45.0,0.03949147
278,25.0,0.032677483
279,35.0,0.038689956
280,15.0,0.09756908
281,55.0,0.04585193
282,45.0,0.041071497
283,15.0,0.027574042000000003
284,35.0,0.039612334
285,25.0,0.03538731
286,55.0,0.045724772000000004
287,45.0,0.043883253
288,15.0,0.02725559
289,35.0,0.03567076
290,25.0,0.033878155
291,55.0,0.15085056
292,45.0,0.041460615
293,15.0,0.028229114
294,35.0,0.03778653
295,25.0,0.036903784
296,55.0,0.18060148
297,45.0,0.14667556
298,15.0,0.028958837999999997
299,35.0,0.13292068
300,25.0,0.035558343
301,55.0,0.15940851
302,45.0,0.038451776
303,15.0,0.02871636
304,35.0,0.040774576
305,55.0,0.045589685
306,25.0,0.03217963
307,45.0,0.041740574
308,15.0,0.02838662
309,35.0,0.035030443
310,55.0,0.16066025
311,25.0,0.032602355
312,45.0,0.043385547000000003
313,15.0,0.03056854
314,35.0,0.12620938
315,55.0,0.13668112
316,25.0,0.031489227
317,45.0,0.14693478
318,15.0,0.029203488
319,35.0,0.038459897
320,55.0,0.04130196
321,25.0,0.034197245
322,45.0,0.039977483
323,15.0,0.029486729
324,35.0,0.13498223
325,55.0,0.14455003
326,25.0,0.035113495
327,45.0,0.044220805
328,15.0,0.028773507
329,35.0,0.037553992
330,55.0,0.04682043599999999
331,25.0,0.032125145
332,45.0,0.0440539
333,15.0,0.032361843
334,35.0,0.03382008
335,55.0,0.04521351
336,25.0,0.11524406
337,45.0,0.03873839
338,15.0,0.028902225
339,15.0,0.027869724
